repo_name,pr_number,story_points,pre_coding_title,pre_coding_description,pre_coding_desc_length,pre_coding_subtasks,pre_coding_author_tenure_days,pre_coding_discussion_participants,is_ai_assisted,post_coding_churn,post_coding_cyclomatic_proxy,post_coding_test_coverage_ratio,ai_mentions,ai_generation_ratio,ai_speed_proxy
dify,36201,3,chore: enchance copywriting in none education plan warning modal,"## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",572,5,5027,1,0,314,0,0.0,0,1.19,4.46
dify,36199,2,refactor(install): improve layout and scrolling behavior for plugin installation step,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary refactor(install): improve layout and scrolling behavior for plugin installation step ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",960,5,3403,1,0,35,0,0.0,0,5.0,8.71
dify,36195,5,fix(api): allow LLM nodes to access retrieved knowledge files,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary <!-- Please include a summary of the change and which issue is fixed. Please also include relevant motivation and context. List any dependencies that are required for this change. --> <!-- If this PR was created by an automated agent, add `From <Tool Name>` as the final line of the description. Example: `From Codex`. --> ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1273,5,3165,1,1,559,19,2.7143,2,39.0,0.31
dify,36182,3,fix: allow tag rename without type payload,"## Summary - split console tag create and update payload schemas so renaming a tag only requires `name` - keep tag type sourced from the existing tag record during rename instead of requiring clients to resend it - update the oRPC tag update contract to return the updated tag and use the server response for cache updates ## Context This fixes a regression introduced by https://github.com/langgenius/dify/pull/34422. That refactor made `TagBasePayload.type` required while `PATCH /tags/{tag_id}` still reused the create payload, causing rename requests with `{ name }` to fail with `type Field required`. ## Tests - `uv run --project api pytest api/tests/unit_tests/controllers/console/tag/test_tags.py -q` - `pnpm -C web test service/client.spec.ts` - `uv run --project api python -m py_compile api/controllers/console/tag/tags.py api/controllers/service_api/dataset/dataset.py api/services/tag_service.py`",911,0,1680,2,0,84,0,0.3913,0,1.83,5.71
dify,35843,2,fix(commands): purge tenant tool credentials on reset-encrypt-key-pair (#35396),"## Summary Closes #35396. `flask reset-encrypt-key-pair` rotates each tenant's asymmetric key and purges `Provider` / `ProviderModel` rows that hold LLM credentials encrypted under the old key. It does **not** touch the tool provider tables that encrypt credentials under the same key: | Table | Encrypted columns | |---|---| | `tool_builtin_providers` | `encrypted_credentials` | | `tool_api_providers` | `credentials_str` | | `tool_mcp_providers` | `encrypted_credentials`, `encrypted_headers`, `server_url` | Stale ciphertext in these tables surfaces as a 500 from `/console/api/workspaces/current/tool-providers` because the new key cannot decrypt it. The reproducer in #35396 walks through it for an MCP tool provider; the same hazard exists for the builtin and API tool tables. ## Change Extend the existing per-tenant purge in `api/commands/system.py` to also delete rows from `tool_builtin_providers`, `tool_api_providers`, and `tool_mcp_providers`. Update the help text and confirmation prompt so operators know tool provider records are wiped along with model credentials. The existing UX guarantee already says *all LLM credentials will become invalid, requiring re-entry*, so this is a behavior fix rather than a contract change. I considered putting the new scope behind a `--purge-tools` flag, but defaulting to the buggy behavior felt wrong since the reproducer in #35396 leaves the tool-providers API broken until an operator manually deletes the rows. ## Tests `api/tests/unit_tests/commands/test_reset_encrypt_key_pair.py` (3 tests, follow `test_upgrade_db.py` mocking pattern — `sessionmaker` and `db` are patched, no DB required): - `test_reset_aborts_when_not_self_hosted` — guard rail unchanged. - `test_reset_purges_provider_and_tool_tables_for_each_tenant` — verifies delete is issued against all 5 tables (`providers`, `provider_models`, `tool_builtin_providers`, `tool_api_providers`, `tool_mcp_providers`) for the active tenant. - `test_reset_iterates_all_tenants` — multi-",3047,0,1052,1,1,125,1,7.7143,1,30.5,0.01
dify,35797,1,fix(security): tenant-scope FilePreviewApi text-extract endpoint (GHSA-2qwc-c2cc-2xwv),"## Summary `api/controllers/console/files.py FilePreviewApi.get` (the console-authenticated `/files/<file_id>/preview` text-extract endpoint) only checked authentication; the underlying `FileService.get_file_preview(file_id)` looked the file up by `id` alone, with no tenant filter. An authenticated user from tenant A could read the extracted-text preview of any `UploadFile` whose UUID they could obtain (or guess), including files belonging to other tenants. ## Fix Two surgical changes: 1. **Service layer** — `FileService.get_file_preview` now takes `tenant_id` and adds `UploadFile.tenant_id == tenant_id` to the lookup query. 2. **Controller** — `FilePreviewApi.get` resolves the caller's tenant via `current_account_with_tenant()` and passes it through. 5 existing test sites (3 integration, 2 unit) updated for the new signature. ## Scope of audit I greppped for other callers of `get_file_preview`. Only the console controller and the 5 test sites — no other production callers to update. The HMAC-signed file endpoints (`api/controllers/files/image_preview.py` `ImagePreviewApi` / `FilePreviewApi`) are a **different code path**: they verify a per-file HMAC signature instead of relying on session auth, so cross-tenant access there requires already possessing a valid signature for the target file. Not affected by this advisory; not changed in this PR. ## Refs - GHSA-2qwc-c2cc-2xwv (private advisory, reporter: Ido Shani / @zafran-io via Huntr) - Public follow-up: #35699 ## Credit / authorship This PR applies **Ido Shani's** original patch verbatim (`git am`). Both commits authored by him. PR opened by me on his behalf since he didn't have permission to add me to the GHSA — see #35699. Marking as draft until reporter / a maintainer signs off.",1775,0,1051,1,0,25,0,1.3333,0,1.17,0.0
dify,35793,3,fix(security): enforce tenant scoping on app trace-config endpoints (GHSA-48xc-wmw8-3jr3),"## Summary The `/console/api/apps/<app_id>/trace-config` endpoints (GET/POST/PATCH/DELETE in `api/controllers/console/app/ops_trace.py`) checked authentication but **did not verify the target `app_id` belonged to the caller's tenant**. An authenticated user from tenant A could read, modify, or delete the tracing configuration of any app in tenant B — including redirecting outbound traces to an attacker-controlled Langfuse / OpenTelemetry endpoint to exfiltrate prompts and outputs. ## Fix Apply the established `@get_app_model` decorator (defined in `api/controllers/console/app/wraps.py`) to all four verbs. That decorator: - Loads the App with `App.tenant_id == current_tenant_id` filter - Raises `AppNotFoundError` (404) on mismatch — same response shape as a non-existent app, no info leak This follows the same pattern already used in `mcp_server.py`, `workflow_trigger.py`, and other tenant-scoped console routes. ## Scope - One file (`api/controllers/console/app/ops_trace.py`), 14 inserts / 8 deletes - View signatures change `(self, app_id)` → `(self, app_model: App)`; service calls now pass `app_model.id` - No service-layer changes — defense at controller boundary is appropriate here since `OpsService` is also called from internal task queues that already trust their inputs ## Refs - GHSA-48xc-wmw8-3jr3 (private advisory, reporter: @zafido via Huntr) - Public follow-up: #35699 Per @crazywoola's note in #35699, security coordination should happen in the GHSA thread rather than this PR's discussion. Happy to revise based on the reporter's draft patch (which I haven't seen — opening this so the GHSA thread has a concrete community contribution to react to). Marking as draft until the reporter / a maintainer signs off. ## Tests No regression test included. Dify's controller test infra requires fixtures (multi-tenant DB setup) that would significantly expand this PR's scope. Happy to add one if the maintainer team prefers — the assertion would be: authenticated user from t",2458,0,1051,4,0,89,0,1.8696,0,2.75,0.01
dify,36175,5,fix(api): allow LLM nodes to access retrieved knowledge files,"## Summary Fixes #36174. This change keeps tenant scoping and end-user ownership checks intact while allowing the current workflow execution to resolve knowledge-base attachments that were returned by trusted retrieval paths. The file access scope now supports execution-local grants for retrieved upload files, and LLM retriever attachment loading checks that the requested segment is present in the selected knowledge context before resolving attachments. ## Screenshots | Before | After | |--------|-------| | N/A | <img width=""1722"" height=""480"" alt=""image"" src=""https://github.com/user-attachments/assets/a45d2294-f8ab-4ed4-bbc6-a2b736bdbcda"" /> |",669,0,3788,2,1,559,19,2.7143,1,39.0,0
dify,36180,5,refactor(api): migrate console.app.workflow_comment to BaseModel,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary See https://github.com/langgenius/dify/issues/28015 . Replace all inline Flask-RESTX request/response payload and query param models to Pydantic BaseModel. Also done minor cleanups for duplicate code. Affected: `console.app.workflow_comment` Some tests are added, but I am unsure if it is approriate to add test that may constrain the behavior of those functions using those tests ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [x] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [x] I've updated the documentation accordingly. - [x] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1261,5,4478,3,0,785,2,1.6464,0,2.39,0
dify,36173,5,refactor: cleanup duplicate code,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary Fix 36171. Consolidated duplicated API helper logic by: 1. moving repeated timestamp normalization into `libs.helper.to_timestamp` 2. sharing human-input default value serialization 3. extracting common DSL version compatibility checks 4. replaced duplicate trigger refresh timestamp helpers with `libs.helper.current_timestamp` ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [x] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [x] I've updated the documentation accordingly. - [x] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1210,5,4478,1,0,477,8,0.1164,0,0.52,0
dify,36176,1,fix: action btn is hidden if there are many packages to install,"## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",570,5,5026,1,0,18,0,0.0,0,3.75,0
dify,35650,1,chore: increase default graph engine min workers,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary Fixes #35561 This PR changes the default `GRAPH_ENGINE_MIN_WORKERS` from `1` to `3`. ## Why: The previous default starts each GraphEngine run with only one worker. This can make common workflows with 2 or 3 independent parallel branches run mostly sequentially unless users manually tune the environment variable. Using `3` as the default gives small parallel workflows enough baseline workers while keeping the change conservative. Changes: - Set default `GRAPH_ENGINE_MIN_WORKERS` to `3` - Keep `GRAPH_ENGINE_MAX_WORKERS` unchanged - Keep `GRAPH_ENGINE_SCALE_UP_THRESHOLD` unchanged ## Impact: - Better out-of-box behavior for small parallel workflows - Slightly higher baseline thread usage per workflow run - Existing deployments can still override the value with environment variables <!-- Please include a summary of the change and which issue is fixed. Please also include relevant motivation and context. List any dependencies that are required for this change. --> <!-- If this PR was created by an automated agent, add `From <Tool Name>` as the final line of the description. Example: `From Codex`. --> ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [x] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [x] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [x] I've updated the documentation accordingly. - [x] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (fr",2085,5,4132,3,0,10,0,2.0,0,0.83,0.0
dify,36168,2,fix: pipeline template render,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary <!-- Please include a summary of the change and which issue is fixed. Please also include relevant motivation and context. List any dependencies that are required for this change. --> <!-- If this PR was created by an automated agent, add `From <Tool Name>` as the final line of the description. Example: `From Codex`. --> Due to multiple commits in sessionmaker, the transaction is closed early. When creating a pipeline using a template, the DataSet ID is returned as empty, causing the render to fail. ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [x] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [x] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1459,5,3164,2,1,138,1,8.3571,3,16.38,0.0
dify,36169,3,feat(MessageLogModal): refactor modal structure and improve tab handling,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary - Replaced floating modal implementation with a Dialog component for better accessibility and styling. - Introduced a type guard for active tab validation, ensuring only valid tabs are set. - Updated modal rendering logic to handle fixed and dynamic widths more effectively. - Adjusted tests to reflect changes in modal behavior and structure. ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1225,5,3402,1,0,109,0,0.0,0,1.56,32.7
dify,36165,5,fix(api): gracefully handle credential fetch failures in rag pipeline,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary <!-- Please include a summary of the change and which issue is fixed. Please also include relevant motivation and context. List any dependencies that are required for this change. --> <!-- If this PR was created by an automated agent, add `From <Tool Name>` as the final line of the description. Example: `From Codex`. --> ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1273,5,3943,2,0,290,14,0.4183,0,2.93,0.22
dify,36151,3,fix: fix delete logs failed,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary fix #36120 ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",960,5,5395,1,0,58,5,1.1364,0,3.92,18.22
dify,36031,3,feat: allow disabling run time cred check,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary Credential policy check at run-time introduces degradation on TTFE, so we provide an option to disabling it for latency critical users. The validation is still performed while publishing the workflow. ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1153,5,3978,3,0,37,1,0.0,0,2.45,0.0
